COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
"64000",高雄市,"64000010",鹽埕區,64000010-001,藍橋里,"95","41","54","966","468","498","324","146","178",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-002,慈愛里,"27","15","12","210","113","97","109","45","64",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-003,博愛里,"34","15","19","412","212","200","184","74","110",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-004,壽星里,"87","48","39","837","438","399","402","186","216",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-005,中山里,"116","50","66","960","471","489","339","152","187",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-006,教仁里,"136","63","73","1294","622","672","596","271","325",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-007,新樂里,"57","29","28","527","269","258","262","123","139",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-008,中原里,"44","24","20","366","170","196","175","84","91",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-009,光明里,"83","44","39","971","493","478","468","237","231",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-010,育仁里,"90","45","45","536","260","276","238","104","134",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-011,河濱里,"115","54","61","1044","512","532","472","214","258",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-012,沙地里,"51","30","21","459","217","242","188","84","104",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-013,南端里,"71","33","38","600","308","292","297","132","165",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-014,港都里,"83","42","41","687","324","363","320","165","155",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-015,江西里,"79","43","36","702","374","328","296","138","158",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-016,新豐里,"90","40","50","623","318","305","196","86","110",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-017,府北里,"165","83","82","1467","731","736","561","275","286",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-018,陸橋里,"74","40","34","730","362","368","328","148","180",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-019,瀨南里,"24","15","9","362","190","172","186","87","99",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-020,新化里,"50","29","21","392","224","168","150","63","87",113Y06M
"64000",高雄市,"64000010",鹽埕區,64000010-021,江南里,"50","25","25","407","210","197","140","60","80",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-001,鼓峰里,"121","65","56","1367","657","710","500","208","292",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-002,雄峰里,"112","65","47","1349","669","680","566","229","337",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-003,前峰里,"278","145","133","2838","1451","1387","1146","493","653",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-004,光榮里,"293","162","131","2517","1327","1190","931","425","506",113Y06M
"64000",高雄市,"64000020",鼓山區,64000020-005,民族里,"90","47","43","925","489","436","351","150","201",113Y06M
