縣市別,區別,里活動中心名稱,地址,經度,緯度
高雄市,鹽埕區,壽星里活動中心,高雄市鹽埕區七賢三路225號,120.28368,22.629369
高雄市,鼓山區,自強里活動中心,高雄市鼓山區鼓山三路115巷4號,120.275678,22.659973
高雄市,鼓山區,河邊里活動中心,高雄市鼓山區河西一路211號,120.283486,22.639702
高雄市,鼓山區,南鼓山聯合里活動中心,高雄市鼓山區延平街87-13號3樓,120.273039,22.623306
高雄市,鼓山區,厚生里集會所,高雄市鼓山區九如四路576之1號,120.279675,22.646289
高雄市,鼓山區,瑞豐新村里活動中心,高雄市鼓山區中華一路45號,120.289826,22.66745
高雄市,鼓山區,鼓峰里活動中心,高雄市鼓山區九如四路2000巷1號,120.286638,22.667403
高雄市,鼓山區,龍子里活動中心,高雄市鼓山區中華一路2133巷47號,120.296364,22.653651
高雄市,左營區,果惠果峰里聯合活動中心,高雄市左營區中華一路9號3樓,120.287978,22.668548
高雄市,左營區,果貿里活動中心,高雄市左營區果峰街8號,120.288414,22.670892
高雄市,左營區,埤東埤西埤北里聯合活動中心,高雄市左營區左營大路6巷81號,120.289456,22.680492
高雄市,左營區,崇實自助里聯合活動中心,高雄市左營區先鋒路293號,120.2825,22.678354
高雄市,左營區,新上新中新下新光里聯合活動中心,高雄市左營區立信路22號,120.307931,22.666211
高雄市,左營區,福山里活動中心,高雄市左營區榮總路201號,120.321467,22.681982
高雄市,楠梓區,五常里集會所,高雄市楠梓區楠梓舊街15-1號,120.330966,22.727682
高雄市,楠梓區,仁昌里活動中心,高雄市楠梓區壽豐路461號,120.294847,22.724299
高雄市,楠梓區,加昌里活動中心,高雄市楠梓區壽民路16巷16號,120.29771,22.72281
高雄市,楠梓區,宏昌等六里聯合活動中心,高雄市楠梓區後昌路960巷19號,120.294057,22.715378
高雄市,楠梓區,惠民里集會所,高雄市楠梓區高楠公路1868巷100號,120.323083,22.732098
高雄市,楠梓區,惠豐里活動中心,高雄市楠梓區青田街87號,120.318969,22.727244
高雄市,楠梓區,翠屏里活動中心,高雄市楠梓區德惠路55號,120.302453,22.726725
高雄市,楠梓區,廣昌等四里聯合活動中心,高雄市楠梓區廣昌街175巷37號,120.284996,22.707598
高雄市,三民區,三塊厝聯合里活動中心,高雄市三民區三民街39-1號,120.295627,22.636783
高雄市,三民區,千歲等四里聯合里活動中心,高雄市三民區三民街222號,120.290614,22.635296
高雄市,三民區,中都地區聯合里活動中心,高雄市三民區同盟三路442號,120.283076,22.644329
高雄市,三民區,本和里活動中心,高雄市三民區大和街190號,120.326122,22.655515
高雄市,三民區,本館里集會所,高雄市三民區昌裕街55號,120.331452,22.655754
高雄市,三民區,安宜里活動中心,高雄市三民區自立一路535號,120.296452,22.650366
高雄市,三民區,安東安和達明聯合里活動中心,高雄市三民區松江街250號,120.30471,22.646971
高雄市,三民區,鼎中等六里聯合里活動中心,高雄市三民區鼎力路125-2號地下一樓,120.321863,22.666713
高雄市,三民區,德北十全十美聯合里活動中心,高雄市三民區德北里德北街170號,120.295094,22.640622
高雄市,三民區,德智、德仁里活動中心,高雄市三民區自由一路52號,120.308816,22.642952
