行政區域代碼,分隊名稱,X座標,Y座標
64000020,鼓山分隊,175521.896,2502757.535
64000030,左營分隊,176595.7996,2508075.936
64000030,左營小隊,177606.16,2510192.56
64000040,楠梓分隊,180703.631,2515304.339
64000060,新興分隊,179204.5399,2503525.893
64000070,前金分隊,177452.9082,2503325.902
64000080,苓雅分隊,181191.38,2502658.15
64000090,前鎮分隊,179973.845,2498663.751
64000100,旗津分隊,176807.467,2498604.062
64000110,小港分隊,181750.514,2496038.674
64000120,鳳山分隊,184505.81,2503187.85
64000130,林園分隊,187707.081,2489954.51
64000140,大寮分隊,187773.98,2501013.1
64000150,大樹分隊,191634.73,2510775.03
64000160,大社分隊,183653.77,2514456.92
64000170,仁武分隊,184114,2511386
64000180,鳥松分隊,184218.27,2506360.03
64000190,岡山分隊,177561.85,2521898.6
64000200,橋頭分隊,177773.73,2515824.96
64000210,燕巢分隊,184433.42,2520982.75
64000220,田寮分隊,189003.005,2525021.831
64000230,阿蓮分隊,181194.512,2531060.822
64000240,路竹分隊,173956.96,2528410.41
64000250,湖內分隊,169069.121,2534337.715
64000260,茄萣分隊,166205.153,2533833.71
64000270,永安分隊,171667.461,2524899.008
64000280,彌陀分隊,172608.95,2520553.75
64000290,梓官分隊,174310.17,2517937.49
64000300,旗山分隊,196996.007,2531999.49
64000310,美濃分隊,203048.272,2533352.255
64000320,六龜分隊,212440.35,2544089.573
64000330,甲仙分隊,208021.452,2553567.681
64000340,杉林分隊,203081.325,2540797.549
64000350,內門分隊,194467.015,2536591.259
64000360,茂林分隊,216184.2088,2532571.364
64000370,桃源分隊,225852.32,2561813.88
64000050,十全分隊,179213.0578,2505142.938
64000050,大昌分隊,180620.3669,2505606.94
64000110,大林分隊,182725.953,2492062.946
64000140,中庄分隊,188014.97,2503681.91
64000020,中華分隊,177193.428,2505714.204
64000120,五甲分隊,181618.318,2499876.145
64000040,右昌分隊,177238.9976,2513197.18
64000090,成功分隊,178790.616,2499395.956
64000380,那瑪夏分隊,218791.164,2569935.389
64000170,特搜中隊,184114,2511386
64000110,高桂分隊,185271.7625,2495960.026
64000220,崇德駐地,186643.93,2530843.04
64000030,新莊分隊,179925.7463,2508501.027
64000090,瑞隆分隊,180670.2213,2500175.574
64000050,鼎金分隊,180296.03,2507556.14
64000120,鳳祥分隊,184124.68,2499305.58
64000320,寶來分隊,219604.426,2556546.406
