"TOWN","ADDR","ADDR_ORI","X","Y","LAT","LONG"
"三民區","鼎中路６６８號","高雄市三民區鼎中路668號1樓、2樓","180309.238","2508289.029","22.67350421388191","120.32180297572293"
"三民區","九如一路２７８號","高雄市三民區九如一路278號","181681.198","2504364.908","22.63812335353644","120.33532417641243"
"三民區","大昌二路１４６號","高雄市三民區大昌二路146號","181384.216","2505052.403","22.64431979395666","120.33240497799238"
"三民區","明誠一路３６０號","高雄市三民區明誠一路360號1樓","180537.051","2506807.884","22.66013813126333","120.32408535124651"
"三民區","建工路７３６號","高雄市三民區建工路736號1樓","180050.143","2505533.811","22.648612574931605","120.31940443291543"
"三民區","大昌二路５２５號","高雄市三民區大昌二路525號1樓","181160.675","2505825.953","22.65129627839938","120.33019627793405"
"三民區","義華路９２號","高雄市三民區本揚里義華路92號1樓","182464.161","2504861.915","22.642642991297553","120.34291991493356"
"三民區","九如一路６０９號","高雄市三民區九如一路609號1樓","180650.64","2504490.278","22.63921363836494","120.32529284619129"
"三民區","覺民路６１７號","高雄市三民區寶安里覺民路617號1樓","180971.482","2504681.545","22.640953982629178","120.328405789921"
"三民區","自強一路２４５號","高雄市三民區自強一路245號1樓","177124.15","2504133.93","22.635847625043123","120.29100174027211"
"三民區","明仁路５３號","高雄市三民區明仁路53號2樓及55、57、59號1、2樓","179517.04","2506948.314","22.66136410672583","120.31415429548736"
"三民區","鼎力路２４３號","高雄市三民區鼎力路243號","180450.843","2507741.012","22.668561188310015","120.3232052143444"
"三民區","褒揚街２８５號","高雄市三民區寶國里褒揚街285號","182152.436","2504659.912","22.640806337205678","120.33989590315556"
"三民區","覺民路６１７號","高雄市三民區寶安里覺民路617號1樓","180971.482","2504681.545","22.640953982629178","120.328405789921"
"三民區","鼎泰街２３２號","高雄市三民區鼎泰街232號1樓","179981.041","2507432.054","22.66575177151123","120.31864751650983"
"三民區","博愛一路２２９號","高雄市三民區博愛一路229號1樓","178362.32","2505487.13","22.648120460055853","120.30298536512316"
"三民區","陽明路３００號","高雄市三民區本揚里陽明路300號","182413.558","2504938.918","22.64333635184347","120.34242429511198"
"三民區","有光路４３號","高雄市三民區寶獅里有光路43號及克武路68、70號","181552.567","2504226.849","22.6368714149813","120.3340787948675"
"三民區","九如一路２７８號","高雄市三民區九如一路278號","181681.198","2504364.908","22.63812335353644","120.33532417641243"
"三民區","十全一路１６１號","高雄市三民區德智里十全一路161號","179000.008","2505122.951","22.644858607023227","120.30920599252703"
"三民區","九如一路４４６號","高雄市三民區九如一路446號1樓","181104.656","2504471.915","22.63906633555987","120.32971058657745"
"三民區","民族一路９８號","高雄市三民區安吉里民族一路98號1樓","179587.46","2504993.24","22.643711778130534","120.31492709757111"
"三民區","莊敬路２８９號","高雄市三民區莊敬路289號","179954.284","2505650.958","22.649666507440262","120.31846657720286"
"三民區","鼎山街６８４號","高雄市三民區鼎復里鼎山街684號1樓","179687.61","2505628.618","22.64945371358045","120.31587302395181"
"三民區","九如二路４４６號","高雄市三民區精華里九如二路446號1樓","178013.131","2504773.949","22.641665298328203","120.2996207062619"
